case_id	lemgram_id	base	category	observed_forms	smart_class	evidence_matching_classes	reason	owner_conversation	status
BREV-armë_N	armë_N	armë	N	armët	mkN072	mkN023,mkN032,mkN039,mkN040,mkN076,mkN094,mkN100,mkN118,mkN140,mkN146,mkN148,mkN154,mkN173,mkN175,mkN201,mkN203,mkN233,mkN235,mkN300,mkN324,mkN470,mkN476,mkN527,mkN540	smart=mkN072; matching numbered classes=24	C2 MorphoDict evidence review	OPEN
BREV-asfalt_N	asfalt_N	asfalt	N	asfaltin	mkN074	mkN001,mkN002,mkN003,mkN004,mkN005,mkN007,mkN012,mkN013,mkN016,mkN017,mkN019,mkN020,mkN026,mkN027,mkN031,mkN033,mkN044,mkN045,mkN046,mkN056,mkN061,mkN067,mkN069,mkN070,mkN108,mkN113,mkN120,mkN121,mkN125,mkN131,mkN138,mkN139,mkN143,mkN145,mkN147,mkN158,mkN162,mkN192,mkN242,mkN243,mkN256,mkN268,mkN272,mkN273,mkN274,mkN294,mkN296,mkN326,mkN329,mkN333,mkN336,mkN343,mkN357,mkN373,mkN415,mkN417,mkN421,mkN425,mkN431,mkN444,mkN448,mkN458,mkN471,mkN482,mkN493,mkN498,mkN500,mkN516,mkN517,mkN518,mkN521,mkN522,mkN524,mkN526,mkN530	smart=mkN074; matching numbered classes=75	C2 MorphoDict evidence review	OPEN
BREV-atdhe_N	atdhe_N	atdhe	N	atdheut	mkN149	mkN010,mkN014,mkN018,mkN025,mkN034,mkN038,mkN041,mkN047,mkN052,mkN055,mkN064,mkN066,mkN074,mkN082,mkN090,mkN098,mkN107,mkN111,mkN135,mkN151,mkN178,mkN179,mkN180,mkN198,mkN225,mkN230,mkN236,mkN247,mkN251,mkN277,mkN307,mkN329,mkN479,mkN541,mkN545	smart=mkN149; matching numbered classes=35	C2 MorphoDict evidence review	OPEN
BREV-barazi_N	barazi_N	barazi	N	barazinë,barazisë	mkN152	mkN008,mkN023,mkN024,mkN059,mkN060,mkN080,mkN118,mkN190,mkN232,mkN349,mkN388,mkN459	smart=mkN152; matching numbered classes=12	C2 MorphoDict evidence review	OPEN
BREV-besnikëri_N	besnikëri_N	besnikëri	N	besnikërinë	mkN152	mkN008,mkN023,mkN024,mkN059,mkN060,mkN080,mkN106,mkN118,mkN190,mkN232,mkN349,mkN388,mkN459,mkN552,mkN554	smart=mkN152; matching numbered classes=15	C2 MorphoDict evidence review	OPEN
BREV-drejtësi_N	drejtësi_N	drejtësi	N	drejtësisë	mkN152	mkN008,mkN023,mkN024,mkN059,mkN060,mkN080,mkN118,mkN190,mkN232,mkN349,mkN388,mkN459	smart=mkN152; matching numbered classes=12	C2 MorphoDict evidence review	OPEN
BREV-ekonomi_N	ekonomi_N	ekonomi	N	ekonomisë	mkN152	mkN008,mkN023,mkN024,mkN059,mkN060,mkN080,mkN118,mkN190,mkN232,mkN349,mkN388,mkN459	smart=mkN152; matching numbered classes=12	C2 MorphoDict evidence review	OPEN
BREV-femër_N	femër_N	femër	N	femrave	mkN166	mkN112,mkN137,mkN234,mkN305,mkN402,mkN414,mkN441,mkN454,mkN477	smart=mkN166; matching numbered classes=9	C2 MorphoDict evidence review	OPEN
BREV-filloj_V	filloj_V	filloj	V	fillojë,filluan,filluar	mkV028		smart=mkV028; matching numbered classes=0	C2 MorphoDict evidence review	OPEN
BREV-himn_N	himn_N	himn	N	himni	mkN034	mkN001,mkN002,mkN003,mkN004,mkN005,mkN007,mkN012,mkN013,mkN016,mkN017,mkN019,mkN020,mkN026,mkN027,mkN031,mkN033,mkN044,mkN045,mkN046,mkN054,mkN056,mkN061,mkN066,mkN067,mkN069,mkN070,mkN084,mkN089,mkN103,mkN105,mkN108,mkN113,mkN120,mkN121,mkN124,mkN125,mkN126,mkN127,mkN131,mkN138,mkN139,mkN143,mkN145,mkN147,mkN158,mkN162,mkN192,mkN198,mkN221,mkN231,mkN236,mkN242,mkN243,mkN256,mkN258,mkN262,mkN268,mkN272,mkN273,mkN274,mkN278,mkN293,mkN299,mkN307,mkN318,mkN326,mkN329,mkN333,mkN336,mkN343,mkN356,mkN357,mkN359,mkN373,mkN389,mkN393,mkN399,mkN400,mkN403,mkN415,mkN417,mkN421,mkN425,mkN429,mkN431,mkN444,mkN448,mkN456,mkN458,mkN464,mkN471,mkN482,mkN490,mkN493,mkN498,mkN500,mkN511,mkN516,mkN517,mkN518,mkN521,mkN522,mkN524,mkN526,mkN530	smart=mkN034; matching numbered classes=105	C2 MorphoDict evidence review	OPEN
